feature,importance
bbox_width_ratio,0.04745314703289031
swin_t_PC2,0.03926431958920631
bbox_area_ratio,0.03604012813825872
swin_t_PC3,0.031655615939116956
ref_chamfer,0.031219523685738857
resnet50_PC3,0.025782814389412812
resnet50_PC7,0.02298825182340447
complexity,0.02209314978989369
perimeter_norm,0.021592711625661478
resnet50_PC5,0.020371250614905724
swin_t_PC8,0.020027628878085513
edge_density,0.019617733626182413
resnet50_PC1,0.019366614843385137
aspect_ratio,0.01916364159659454
resnet50_PC10,0.018920804297607535
swin_t_PC20,0.018850070217990008
direction_entropy,0.01866311596791159
swin_t_PC17,0.018565208311804453
swin_t_PC1,0.01818331136260474
swin_t_PC10,0.01812504658993755
ink_ratio,0.01802882501994882
resnet50_PC11,0.01802041592833443
swin_t_PC16,0.017842115373029495
swin_t_PC4,0.017109548885338045
resnet50_PC2,0.01709493417873753
resnet50_PC4,0.016906593597242073
swin_t_PC18,0.016895770982951287
swin_t_PC6,0.01688191474801225
resnet50_PC17,0.01682695522271862
swin_t_PC15,0.01679816455116667
swin_t_PC13,0.016360879649919703
centroid_x,0.016300021293491538
swin_t_PC5,0.01622219454820293
resnet50_PC9,0.016211181456159296
centroid_y,0.01609134423173603
resnet50_PC18,0.015937329807389666
resnet50_PC19,0.01590558753546831
swin_t_PC9,0.0158839894839038
swin_t_PC12,0.015838736548579087
resnet50_PC16,0.015628168584689673
resnet50_PC14,0.015486486054252957
resnet50_PC6,0.015438199204090489
resnet50_PC8,0.015203273644344376
swin_t_PC7,0.015186592088857387
resnet50_PC13,0.015132926399683815
swin_t_PC11,0.015078022857354352
resnet50_PC12,0.015068132487541247
resnet50_PC15,0.01499317155591594
swin_t_PC19,0.014931570339563672
swin_t_PC14,0.014671989580476448
resnet50_PC20,0.014187058336302875
bbox_height_ratio,0.013893817504004466
