filename,group,predicted,correct,page_id,image_path
极致扭曲_p01_L_r05_rep3,极致扭曲,美观,False,p01_L,F:\project\智能媒体工作坊\基础案例A-视觉分析2\Data\极致扭曲\极致扭曲_p01_L_r05_rep3.png
极致扭曲_p01_L_r06_rep2,极致扭曲,美观,False,p01_L,F:\project\智能媒体工作坊\基础案例A-视觉分析2\Data\极致扭曲\极致扭曲_p01_L_r06_rep2.png
极致扭曲_p01_L_r08_rep1,极致扭曲,美观,False,p01_L,F:\project\智能媒体工作坊\基础案例A-视觉分析2\Data\极致扭曲\极致扭曲_p01_L_r08_rep1.png
极致扭曲_p01_L_r11_rep1,极致扭曲,美观,False,p01_L,F:\project\智能媒体工作坊\基础案例A-视觉分析2\Data\极致扭曲\极致扭曲_p01_L_r11_rep1.png
极致扭曲_p01_L_r12_rep1,极致扭曲,美观,False,p01_L,F:\project\智能媒体工作坊\基础案例A-视觉分析2\Data\极致扭曲\极致扭曲_p01_L_r12_rep1.png
极致扭曲_p03_L_r05_rep3,极致扭曲,美观,False,p03_L,F:\project\智能媒体工作坊\基础案例A-视觉分析2\Data\极致扭曲\极致扭曲_p03_L_r05_rep3.png
极致扭曲_p03_L_r09_rep2,极致扭曲,美观,False,p03_L,F:\project\智能媒体工作坊\基础案例A-视觉分析2\Data\极致扭曲\极致扭曲_p03_L_r09_rep2.png
极致扭曲_p03_L_r11_rep1,极致扭曲,美观,False,p03_L,F:\project\智能媒体工作坊\基础案例A-视觉分析2\Data\极致扭曲\极致扭曲_p03_L_r11_rep1.png
极致扭曲_p06_L_r02_rep1,极致扭曲,美观,False,p06_L,F:\project\智能媒体工作坊\基础案例A-视觉分析2\Data\极致扭曲\极致扭曲_p06_L_r02_rep1.png
极致扭曲_p06_L_r03_rep2,极致扭曲,美观,False,p06_L,F:\project\智能媒体工作坊\基础案例A-视觉分析2\Data\极致扭曲\极致扭曲_p06_L_r03_rep2.png
极致扭曲_p06_L_r03_rep3,极致扭曲,美观,False,p06_L,F:\project\智能媒体工作坊\基础案例A-视觉分析2\Data\极致扭曲\极致扭曲_p06_L_r03_rep3.png
极致扭曲_p06_L_r06_rep2,极致扭曲,美观,False,p06_L,F:\project\智能媒体工作坊\基础案例A-视觉分析2\Data\极致扭曲\极致扭曲_p06_L_r06_rep2.png
极致扭曲_p06_L_r08_rep2,极致扭曲,美观,False,p06_L,F:\project\智能媒体工作坊\基础案例A-视觉分析2\Data\极致扭曲\极致扭曲_p06_L_r08_rep2.png
