feature,style,style_label,n,mean,std,median,iqr,min,max
ink_ratio,legible,端正易读,2734,0.095128,0.071857,0.074242,0.104525,0.005235,0.429697
ink_ratio,aesthetic,美观,2654,0.097599,0.073555,0.079012,0.116182,0.005675,0.365949
ink_ratio,distorted,极致扭曲,2669,0.116312,0.086298,0.100587,0.132339,0.005871,0.450587
bbox_width_ratio,legible,端正易读,2734,0.571102,0.169786,0.578571,0.250000,0.057143,1.000000
bbox_width_ratio,aesthetic,美观,2654,0.574884,0.168413,0.585714,0.241071,0.050000,1.000000
bbox_width_ratio,distorted,极致扭曲,2669,0.679337,0.168814,0.692857,0.228571,0.064286,1.000000
bbox_height_ratio,legible,端正易读,2734,0.745085,0.243758,0.746575,0.472603,0.109589,1.000000
bbox_height_ratio,aesthetic,美观,2654,0.747688,0.240968,0.746575,0.465753,0.041096,1.000000
bbox_height_ratio,distorted,极致扭曲,2669,0.806448,0.214327,0.876712,0.369863,0.123288,1.000000
bbox_area_ratio,legible,端正易读,2734,0.438338,0.210818,0.417417,0.327691,0.013699,1.000000
bbox_area_ratio,aesthetic,美观,2654,0.441135,0.208670,0.426223,0.330382,0.013014,1.000000
bbox_area_ratio,distorted,极致扭曲,2669,0.558442,0.218299,0.564286,0.338209,0.020254,1.000000
aspect_ratio,legible,端正易读,2734,0.809527,0.340821,0.750862,0.408813,0.130137,3.400000
aspect_ratio,aesthetic,美观,2654,0.817605,0.474104,0.740157,0.417808,0.061644,17.833333
aspect_ratio,distorted,极致扭曲,2669,0.869224,0.358057,0.815068,0.342466,0.143836,7.000000
fill_ratio,legible,端正易读,2734,0.223580,0.131714,0.195764,0.179054,0.009217,0.708686
fill_ratio,aesthetic,美观,2654,0.225035,0.135264,0.197283,0.187745,0.013120,0.708333
fill_ratio,distorted,极致扭曲,2669,0.207524,0.127895,0.177915,0.186579,0.010023,0.760870
component_count,legible,端正易读,2734,2.499634,1.420860,2.000000,2.000000,1.000000,10.000000
component_count,aesthetic,美观,2654,2.486812,1.410616,2.000000,2.000000,1.000000,9.000000
component_count,distorted,极致扭曲,2669,2.665792,1.510816,2.000000,3.000000,1.000000,13.000000
hole_count,legible,端正易读,2734,0.397586,0.936089,0.000000,0.000000,0.000000,10.000000
hole_count,aesthetic,美观,2654,0.430294,0.987789,0.000000,0.000000,0.000000,10.000000
hole_count,distorted,极致扭曲,2669,0.572499,1.281459,0.000000,1.000000,0.000000,13.000000
perimeter_norm,legible,端正易读,2734,3.371664,1.355395,3.223798,1.773481,0.492310,10.526495
perimeter_norm,aesthetic,美观,2654,3.369840,1.369352,3.192752,1.843331,0.432256,10.056831
perimeter_norm,distorted,极致扭曲,2669,4.024742,1.544599,3.825740,2.016759,0.518882,10.948156
complexity,legible,端正易读,2734,13.167436,8.317332,10.654704,10.240416,2.412127,64.369565
complexity,aesthetic,美观,2654,13.066838,8.667279,10.365333,9.656634,1.276956,63.837945
complexity,distorted,极致扭曲,2669,16.191679,11.216867,12.015718,14.553103,1.323061,82.947419
solidity,legible,端正易读,2734,0.317960,0.174494,0.278660,0.248063,0.027152,1.000000
solidity,aesthetic,美观,2654,0.319434,0.176827,0.277732,0.250591,0.023489,1.000000
solidity,distorted,极致扭曲,2669,0.294114,0.172145,0.256161,0.251534,0.019257,1.000000
elongation,legible,端正易读,2734,2.264875,2.048124,1.745299,0.992611,1.004764,35.678579
elongation,aesthetic,美观,2654,2.251147,2.221377,1.752925,1.006538,1.011722,38.749437
elongation,distorted,极致扭曲,2669,2.000111,1.536998,1.646310,0.846352,1.013597,32.263732
orientation_entropy,legible,端正易读,2734,0.894245,0.077131,0.914051,0.087342,0.369138,0.997224
orientation_entropy,aesthetic,美观,2654,0.908815,0.076438,0.930303,0.079710,0.434730,0.998437
orientation_entropy,distorted,极致扭曲,2669,0.925520,0.066164,0.947709,0.069394,0.481909,0.997928
edge_density,legible,端正易读,2734,0.021384,0.008618,0.020548,0.011252,0.003082,0.068982
edge_density,aesthetic,美观,2654,0.021276,0.008633,0.020205,0.011338,0.002153,0.065460
edge_density,distorted,极致扭曲,2669,0.025105,0.009680,0.023924,0.012378,0.002544,0.068346
centroid_x,legible,端正易读,2734,0.601329,0.072338,0.603233,0.097550,0.257964,0.856798
centroid_x,aesthetic,美观,2654,0.608048,0.072710,0.610462,0.094464,0.340155,0.850349
centroid_x,distorted,极致扭曲,2669,0.601754,0.078885,0.605682,0.099931,0.300513,0.851537
centroid_y,legible,端正易读,2734,0.606499,0.139675,0.614293,0.209153,0.049122,0.948928
centroid_y,aesthetic,美观,2654,0.610008,0.142590,0.620082,0.204250,0.011118,0.948509
centroid_y,distorted,极致扭曲,2669,0.594639,0.125323,0.600438,0.175582,0.103127,0.945281
ref_iou,legible,端正易读,2734,0.158351,0.117029,0.135384,0.163390,0.000000,0.656977
ref_iou,aesthetic,美观,2654,0.160548,0.115798,0.140835,0.161271,0.000000,0.653971
ref_iou,distorted,极致扭曲,2669,0.139822,0.094610,0.122824,0.127172,0.000000,0.584013
ref_cosine,legible,端正易读,2734,0.274800,0.167135,0.266302,0.244496,0.000000,0.794538
ref_cosine,aesthetic,美观,2654,0.279180,0.165024,0.274583,0.240426,0.000000,0.794976
ref_cosine,distorted,极致扭曲,2669,0.250664,0.141840,0.240915,0.198146,0.000000,0.739754
ref_chamfer,legible,端正易读,2734,0.039855,0.037243,0.028458,0.030244,0.002364,0.264343
ref_chamfer,aesthetic,美观,2654,0.038551,0.035464,0.027183,0.028078,0.002165,0.312156
ref_chamfer,distorted,极致扭曲,2669,0.041268,0.032201,0.031485,0.027778,0.004149,0.261811
